"dataset","site","initial.year","study.length","n.plots","n.taxa","n.taxa.regional","organism","taxa","abund.type","abund.units","extent","interplot.dist","AvgPlotRich","Evenness","Turnover","Jaccard","Jacc.tu","Jacc.ne","CVTotBiomass","LoreauSynch","VarRatio","rSppMean","rRichness","sd.rRichness","p.rRichness"
"drt_coral","dry_tortugas",2005,11,8,25,26,"marine","coral","percent cover","percent.cover within 0.25_m2",16.514,6.725,9.59090909090909,0.645772777786284,0.206773529099054,0.527878738347846,0.733132281252582,0.794746457095264,0.100618858357968,0.238898357318182,2.35413737062238,0.0336173368786567,0.0542207792207792,0.280260517036549,0.166
"hay","hay",1943,30,13,16,16,"terrestrial","mixed grass prairie","percent cover","area_cm2 within 1m2",0.0521,0.0261,4.6,0.39966742030511,0.333690690388303,0.639092584765662,0.701272338772339,0.937820245993323,0.381112114439655,0.297473962278993,0.925815766639596,0.377268497991524,0.395516385727732,0.229726182430533,0
"jrg","jrg",1983,34,12,25,25,"terrestrial","grass & forbs","percent cover","percentcover within 1m2",0.0278,0.0143,14.4632352941176,0.752332035813718,0.158949235098895,0.931262626262626,0.949747474747475,0.981515151515152,0.105987646557894,0.0166653433145543,0.149361909576673,0.336968111104676,0.348195476537723,0.141382693373324,0
"jrn_basn","jrn",1989,24,49,44,44,"terrestrial","grassland","biomass","biomass_g within 1m2",0.0863,0.0369,7.07227891156463,0.396959797341819,0.511230155216151,0.69615622121939,0.766502606183044,0.929653615036346,0.340956201229501,0.218087412557466,1.45288344725602,0.376676198029525,0.760164892043774,0.0882372829351939,0
"jrn_ibpe","jrn",1989,24,49,51,53,"terrestrial","grassland","biomass","biomass_g within 1m2",0.0846,0.0368,9.81037414965986,0.528374876640586,0.562420424825879,0.761094075384462,0.832281303081315,0.928812772303148,0.316140770451196,0.106755849059038,1.16555363312193,0.337565998550878,0.774662948166054,0.0779497023836485,0
"jrn_summ","jrn",1989,24,49,53,54,"terrestrial","grassland","biomass","biomass_g within 1m2",0.0869,0.0372,9.11394557823129,0.275211888326415,0.630820332937439,0.745631007145223,0.810651858807731,0.934979148337492,0.545096778287061,0.414091215552258,1.19211074110243,0.475707739596555,0.809572611653357,0.110064971623584,0
"knz_f_upland","knz",1983,33,20,47,49,"terrestrial","upland grassland","percent cover","percentcover within 10m2",0.168,0.086,20.1424242424242,0.563999442076696,0.132008120984669,0.744210284199368,0.791692333353682,0.952517950845686,0.157643193988222,0.0845430740160482,0.855553189058539,0.335774260168501,0.389324162679426,0.190532502883249,0
"knz_t_lowland","knz",1983,33,20,44,45,"terrestrial","lowland grassland","percent cover","percentcover within 10m2",0.234,0.0938,17.5318181818182,0.522260616283868,0.126613293314493,0.730109220900236,0.79735967454452,0.932749546355717,0.143760752156111,0.0927194226637891,0.841876846399381,0.344112556398373,0.471893470306783,0.150301736632443,0
"lok_coral","lower_keys",1996,20,14,28,28,"marine","coral","percent cover","percent.cover within 0.25_m2",49.04,19.592,9.58928571428571,0.635733271253482,0.217545461369054,0.644017044744344,0.798083614876877,0.845933429867467,0.243189057403362,0.471308527509687,3.93914537627585,0.143104014916216,0.518714368338428,0.168193300273789,0
"mau_coral","maui",2001,14,9,21,22,"marine","coral","percent cover","percent.cover within 0.25_m2",50.411,23.871,8.11904761904762,0.533885897053498,0.198408159982785,0.679170795998711,0.836587375616013,0.842583420382698,0.0539847790515681,0.0913387072640299,0.618344954825287,0.14306202729259,0.0886446886446886,0.340558247014271,0.049
"mcr_coral_algae_backreef","mcr",2006,10,30,11,11,"marine","coral & algae","percent cover","mean.percent.cover within 0.25_m2",16.652,10.375,4.26333333333333,0.359584110458883,0.244640019868778,0.7301776384535,0.83399628468594,0.896181353767561,0.0813988849849678,0.11786849664026,0.687166288680285,0.262958947911572,0.0888192267502612,0.34023379884209,0
"mcr_coral_algae_fringing","mcr",2006,10,30,23,26,"marine","coral & algae","percent cover","mean.percent.cover within 0.25_m2",15.674,9.659,6.49666666666667,0.515837533241718,0.226924071583305,0.550279258827307,0.676427350499997,0.87385190832731,0.124384583665484,0.0888840537100581,0.54048299340549,0.186699375555041,0.0567467781260885,0.366392133349252,0.00700000000000001
"mcr_coral_algae_outer10","mcr",2006,10,30,25,27,"marine","coral & algae","percent cover","mean.percent.cover within 0.25_m2",17.294,10.792,12.37,0.546326701144816,0.194193336905732,0.789678044094836,0.845856993125675,0.943821050969161,0.0722557426935418,0.0294887475504557,0.276522237301271,0.450408886880111,0.441846021197501,0.288078426682507,0
"mdk_coral","middle_keys",1996,20,8,24,26,"marine","coral","percent cover","percent.cover within 0.25_m2",55.396,27.503,9.35625,0.70285488600118,0.231681208756049,0.710210965843934,0.843626262307156,0.866584703536778,0.113804899081518,0.0951327280486358,0.932778411091326,0.0966682529671803,0.236222917619707,0.283098426809485,0
"sbc","sbc",2001,18,34,30,30,"marine","algae","biomass","biomass_g_per_m2 within 80_m2_transect",73.377,26.815,6.9281045751634,0.66765861004296,0.439053176415885,0.617044177663851,0.723191040270177,0.893853137393674,0.278087486367393,0.143318040476088,0.754319606022354,0.109976630317056,0.0532319386921846,0.252646934713256,0
"sev_b","sev",2002,13,30,42,43,"terrestrial","blue grama","biomass","biomass_g within 1m2",0.704,0.312,7.93589743589744,0.570179793796468,0.401731275646536,0.482481698576376,0.575743899039375,0.906737799537,0.720252707875334,0.455092774378981,2.9275895056663,0.407014430242182,0.639636225843122,0.147273851638918,0
"sev_c","sev",1999,16,30,29,32,"terrestrial","blue grama","biomass","biomass_g within 1m2",1.327,0.501,5.17291666666667,0.567451592608426,0.430073829183756,0.472222069871648,0.601788545721671,0.870433524149977,0.513280037253348,0.25153602260949,1.45547732250049,0.310109703166561,0.611244083840433,0.20822445893047,0
"sev_g","sev",1999,16,22,27,27,"terrestrial","blue grama","biomass","biomass_g within 1m2",0.812,0.334,5.38352272727273,0.3832994540263,0.444741118457696,0.672629523245589,0.73155570555773,0.941073817687859,0.817682197343666,0.50346478243451,1.55268917689286,0.508530710488532,0.602304558186911,0.168360439553905,0
"upk_coral","upper_keys",1996,20,10,23,25,"marine","coral","percent cover","percent.cover within 0.25_m2",44.684,19.563,8.41,0.625928571461568,0.205093267623356,0.663169023767579,0.77077841662981,0.892390607137769,0.269963935292507,0.309289384947654,1.31727805836718,0.154645939728088,0.391779448621554,0.40295798555024,0
"usvi_coral","csun_usvi",1992,26,6,17,17,"marine","coral","percent cover","mean.percent.cover within 0.25_m2",1.381,0.789,7.40384615384615,0.67342160665841,0.235939061105907,0.889950980392157,0.927941176470588,0.962009803921569,0.127965282214608,0.085439785407791,0.737480715746967,0.127734988468322,0.269196581196581,0.209595825404086,0
